date,series,value
2010-05,unemploymentrate,7.9
2010-06,unemploymentrate,7.8
2010-07,unemploymentrate,7.8
2010-08,unemploymentrate,7.8
2010-09,unemploymentrate,7.9
2010-10,unemploymentrate,7.9
2010-11,unemploymentrate,7.9
2010-12,unemploymentrate,7.9
2011-01,unemploymentrate,7.8
2011-02,unemploymentrate,7.8
2011-03,unemploymentrate,7.7
2011-04,unemploymentrate,7.8
2011-05,unemploymentrate,7.9
2011-06,unemploymentrate,8.0
2011-07,unemploymentrate,8.2
2011-08,unemploymentrate,8.3
2011-09,unemploymentrate,8.4
2011-10,unemploymentrate,8.5
2011-11,unemploymentrate,8.4
2011-12,unemploymentrate,8.4
2012-01,unemploymentrate,8.3
2012-02,unemploymentrate,8.2
2012-03,unemploymentrate,8.2
2012-04,unemploymentrate,8.1
2012-05,unemploymentrate,8.0
2012-06,unemploymentrate,8.0
2012-07,unemploymentrate,7.9
2012-08,unemploymentrate,7.9
2012-09,unemploymentrate,7.9
2012-10,unemploymentrate,7.8
2012-11,unemploymentrate,7.8
2012-12,unemploymentrate,7.8
2013-01,unemploymentrate,8.0
2013-02,unemploymentrate,7.9
2013-03,unemploymentrate,7.8
2013-04,unemploymentrate,7.8
2013-05,unemploymentrate,7.8
2013-06,unemploymentrate,7.7
2013-07,unemploymentrate,7.7
2013-08,unemploymentrate,7.6
2013-09,unemploymentrate,7.4
2013-10,unemploymentrate,7.2
2013-11,unemploymentrate,7.2
2013-12,unemploymentrate,7.2
2014-01,unemploymentrate,6.9
2014-02,unemploymentrate,6.8
2014-03,unemploymentrate,6.6
2014-04,unemploymentrate,6.5
2014-05,unemploymentrate,6.3
2014-06,unemploymentrate,6.2
2014-07,unemploymentrate,6.0
2014-08,unemploymentrate,6.0
2014-09,unemploymentrate,6.0
2014-10,unemploymentrate,5.9
2014-11,unemploymentrate,5.7
2014-12,unemploymentrate,5.7
2015-01,unemploymentrate,5.6
2015-02,unemploymentrate,5.6
2015-03,unemploymentrate,5.5
2015-04,unemploymentrate,5.7
2015-05,unemploymentrate,5.6
2015-06,unemploymentrate,5.6
2015-07,unemploymentrate,5.4
2015-08,unemploymentrate,5.4
2015-09,unemploymentrate,5.2
2015-10,unemploymentrate,5.1
2015-11,unemploymentrate,5.1
2015-12,unemploymentrate,5.1
2016-01,unemploymentrate,5.2
2016-02,unemploymentrate,5.1
2016-03,unemploymentrate,5.1
2016-04,unemploymentrate,5.0
2016-05,unemploymentrate,5.0
2016-06,unemploymentrate,4.9
2016-07,unemploymentrate,5.0
2016-08,unemploymentrate,4.9
2016-09,unemploymentrate,4.9
2016-10,unemploymentrate,4.9
2016-11,unemploymentrate,4.8
2016-12,unemploymentrate,4.8
2017-01,unemploymentrate,4.7
2017-02,unemploymentrate,4.6
2017-03,unemploymentrate,4.6
2017-04,unemploymentrate,4.5
2017-05,unemploymentrate,4.5
2017-06,unemploymentrate,4.4
2017-07,unemploymentrate,4.4
2017-08,unemploymentrate,4.3
2017-09,unemploymentrate,4.3
2017-10,unemploymentrate,4.3
2017-11,unemploymentrate,4.4
2017-12,unemploymentrate,4.4
2018-01,unemploymentrate,4.3
2018-02,unemploymentrate,4.3
2018-03,unemploymentrate,4.3
2018-04,unemploymentrate,4.2
2018-05,unemploymentrate,4.1
2018-06,unemploymentrate,4.1
2018-07,unemploymentrate,4.1
2018-08,unemploymentrate,4.2
2018-09,unemploymentrate,4.1
2018-10,unemploymentrate,4.1
2018-11,unemploymentrate,4.1
2018-12,unemploymentrate,4.0
2019-01,unemploymentrate,4.0
2019-02,unemploymentrate,3.9
2019-03,unemploymentrate,3.9
2019-04,unemploymentrate,3.9
2019-05,unemploymentrate,4.0
2019-06,unemploymentrate,3.9
2019-07,unemploymentrate,4.0
2019-08,unemploymentrate,3.9
2019-09,unemploymentrate,3.9
2019-10,unemploymentrate,3.9
2019-11,unemploymentrate,3.9
2019-12,unemploymentrate,4.0
2020-01,unemploymentrate,4.1
2020-02,unemploymentrate,4.1
2020-03,unemploymentrate,4.2
2020-04,unemploymentrate,4.2
2020-05,unemploymentrate,4.2
2020-06,unemploymentrate,4.4
2020-07,unemploymentrate,4.7
2020-08,unemploymentrate,5.0
2020-09,unemploymentrate,5.2
2020-10,unemploymentrate,5.2
2020-11,unemploymentrate,5.3
2020-12,unemploymentrate,5.3
2021-01,unemploymentrate,5.2
2021-02,unemploymentrate,5.1
2021-03,unemploymentrate,5.0
2021-04,unemploymentrate,5.0
2021-05,unemploymentrate,4.8
2021-06,unemploymentrate,4.7
2021-07,unemploymentrate,4.6
2021-08,unemploymentrate,4.4
2021-09,unemploymentrate,4.3
2021-10,unemploymentrate,4.2
2021-11,unemploymentrate,4.2
2021-12,unemploymentrate,4.1
2022-01,unemploymentrate,4.0
2022-02,unemploymentrate,3.9
2022-03,unemploymentrate,4.0
2022-04,unemploymentrate,3.9
2022-05,unemploymentrate,3.9
2022-06,unemploymentrate,3.7
2022-07,unemploymentrate,3.6
2022-08,unemploymentrate,3.8
2022-09,unemploymentrate,3.9
2022-10,unemploymentrate,3.8
2022-11,unemploymentrate,3.9
2022-12,unemploymentrate,3.8
2023-01,unemploymentrate,3.9
2023-02,unemploymentrate,4.0
2023-03,unemploymentrate,3.9
2023-04,unemploymentrate,4.0
2023-05,unemploymentrate,4.2
2023-06,unemploymentrate,4.3
2023-07,unemploymentrate,4.2
2023-08,unemploymentrate,4.1
2023-09,unemploymentrate,4.0
2023-10,unemploymentrate,3.9
2023-11,unemploymentrate,3.8
2023-12,unemploymentrate,4.0
2024-01,unemploymentrate,4.2
2024-02,unemploymentrate,4.3
2024-03,unemploymentrate,4.4
2024-04,unemploymentrate,4.4
2024-05,unemploymentrate,4.2
2024-06,unemploymentrate,4.1
2024-07,unemploymentrate,4.0
2024-08,unemploymentrate,4.3
